66,driver_license,Alabama
56,driver_license,Alaska
83,driver_license,Arizona
72,driver_license,Arkansas
65,driver_license,California
60,driver_license,Colorado
78,driver_license,Connecticut
54,driver_license,Delaware
79,driver_license,Florida
99,driver_license,Georgia
64,driver_license,Hawaii
90,driver_license,Idaho
70,driver_license,Illinois
102,driver_license,Indiana
69,driver_license,Iowa
93,driver_license,Kansas
70,driver_license,Louisiana
66,driver_license,Maine
66,driver_license,Massachusetts
67,driver_license,Michigan
74,driver_license,Minnesota
79,driver_license,Mississippi
82,driver_license,Missouri
78,driver_license,Montana
63,driver_license,NewJersey
66,driver_license,NewMexico
83,driver_license,NewYork
59,driver_license,NorthCarolina
51,driver_license,NorthDakota
55,driver_license,Ohio
90,driver_license,Oregon
86,driver_license,Pennsylvania
80,driver_license,SouthCarolina
60,driver_license,Tennessee
82,driver_license,Texas
86,driver_license,Utah
52,driver_license,Vermont
64,driver_license,Virginia
76,driver_license,Wisconsin
80,driver_license,Wyomin
